EVI-Pro ID,string
1,Block 48 Retail strip mall  2019|Strip shopping mall
2,Office
3,Block 48 Retail quick service restaurant 1 of 2 2019|Food service
4,Block 51 Retail quick service restaurant  2020|Food service
5,Block 51 Retail full restaurant  2020|Food sales
6,Block 51 Retail strip mall  2020|Strip shopping mall
7,Block 51 Retail stand alone  2020|Retail other than mall
8,Block 49 Office 2033|Office
9,Block 48 Retail quick service restaurant 2 of 2 2019|Food service
10,Block 52 Retail stand alone 2 of 2 2022|Retail other than mall
11,Block 52 Retail strip mall  2022|Strip shopping mall
12,Block 15 Retail strip mall  2021|Strip shopping mall
13,Block 6 Retail quick service restaurant  2021|Food service
14,Block 52 Retail stand alone 1 of 2 2022|Retail other than mall
15,Block 5 Retail strip mall  2019|Strip shopping mall
16,Block 40a Low Density Residential 2 of 2 2018|Multifamily (5 or more units)
17,Block 38a Low Density Residential 1 of 3 2033|Multifamily (5 or more units)
18,Block 38b Low Density Residential 2 of 4 2033|Multifamily (5 or more units)
19,Block 38b Low Density Residential 4 of 4 2033|Multifamily (5 or more units)
20,Block 39b Office  2030|Office
21,Block 39a Office  2030|Office
22,Block 20 Low Density Residential 2 of 6 2017|Multifamily (5 or more units)
23,Block 20 Low Density Residential 4 of 6 2017|Multifamily (5 or more units)
24,Block 20 Low Density Residential 5 of 6 2022|Multifamily (5 or more units)
25,Block 40a Low Density Residential 1 of 2 2018|Multifamily (5 or more units)
26,Block 40b Low Density Residential 2 of 2 2018|Multifamily (5 or more units)
27,Block 40b Low Density Residential 1 of 2 2018|Multifamily (5 or more units)
28,Block 31 Office 2 of 4 2024|Office
29,Block 22 Office 1 of 3 2020|Office
30,Block 31 Office 1 of 4 2024|Office
31,Block 30 Office 2 of 2 2019|Office
32,Block 30 Office 1 of 2 2019|Office
33,Block 22 Office 3 of 3 2023|Office
34,Block 38b Low Density Residential 3 of 4 2033|Multifamily (5 or more units)
35,Block 38b Low Density Residential 1 of 4 2033|Multifamily (5 or more units)
36,Block 38a Low Density Residential 2 of 3 2033|Multifamily (5 or more units)
37,Block 1 Office 1 of 2 2030|Office
38,Block 24 Office  2033|Office
39,Block 38a Low Density Residential 3 of 3 2033|Multifamily (5 or more units)
40,Block 14 Hotel  2017|Lodging
41,Block 20 Low Density Residential 3 of 6 2017|Multifamily (5 or more units)
42,Block 20 Low Density Residential 6 of 6 2022|Multifamily (5 or more units)
43,Block 1 Office 2 of 2 2030|Office
44,Block 3 Office  2020|Office
45,Block 14 Office  2017|Office
46,Block 6 Hotel  2021|Lodging
47,Block 5 Office  2019|Office
48,Block 16 High Density Residential  2021|Multifamily (5 or more units)
49,Block 15 High Density Residential  2021|Multifamily (5 or more units)
50,Block 20 Low Density Residential 1 of 6 2017|Multifamily (5 or more units)
51,Block 54 Office  2033|Office
52,Block 53 Office  2025|Office
53,Block 53 Retail full restaurant  2025|Food sales
54,Block 53 Retail strip mall  2025|Strip shopping mall
55,Block 55 Retail stand alone  2018|Retail other than mall
56,Block 46 Office  2018|Office
57,Block 43b High Density Residential  2024|Multifamily (5 or more units)
58,Block 54 Retail stand alone  2033|Retail other than mall
59,Block 54 Retail strip mall  2033|Strip shopping mall
60,Block 43b High Density Residential  2025|Multifamily (5 or more units)
61,Block 56 Retail quick service restaurant 1 of 2 2018|Food service
62,Block 47 Retail quick service restaurant  2018|Food service
63,Block 56 Retail stand alone  2018|Retail other than mall
64,Block 56 Retail quick service restaurant 2 of 2 2018|Food service
65,Block 55 Retail quick service restaurant  2018|Food service
66,Block 55 Retail strip mall  2018|Strip shopping mall
67,Block 32 High Density Residential 2 of 2 2022|Multifamily (5 or more units)
68,Block 41a High Density Residential  2023|Multifamily (5 or more units)
69,Block 23 Low Density Residential 3 of 4 2019|Multifamily (5 or more units)
70,Block 22 Office 2 of 3 2023|Office
71,Block 31 Office 3 of 4 2026|Office
72,Block 31 Office 4 of 4 2026|Office
73,Block 33 High Density Residential  2024|Multifamily (5 or more units)
74,Block 33 High Density Residential  2025|Multifamily (5 or more units)
75,Block 42 High Density Residential  2025|Multifamily (5 or more units)
76,Block 42 High Density Residential  2024|Multifamily (5 or more units)
77,Block 41b High Density Residential  2023|Multifamily (5 or more units)
78,Block 32 High Density Residential 1 of 2 2022|Multifamily (5 or more units)
79,Block 45 For Sale Residential 2 of 2 2029|Single-Family
80,Block 44 For Sale Residential  2026|Single-Family
81,Block 43a High Density Residential  2024|Multifamily (5 or more units)
82,Block 47 Retail stand alone  2018|Retail other than mall
83,Block 45 For Sale Residential 1 of 2 2029|Single-Family
84,Block 43a High Density Residential  2025|Multifamily (5 or more units)
85,Block 17 Low Density Residential 2 of 2 2021|Multifamily (5 or more units)
86,Block 17 Hotel  2020|Lodging
87,Block 7 Office 2 of 2 2024|Office
88,Block 23 Low Density Residential 1 of 4 2019|Multifamily (5 or more units)
89,Block 7 Office 1 of 2 2022|Office
90,Block 17 Low Density Residential 1 of 2 2021|Multifamily (5 or more units)
91,Block 18 Low Density Residential 2 of 2 2024|Multifamily (5 or more units)
92,Block 8 Office 2 of 3 2029|Office
93,Block 8 Office 3 of 3 2029|Office
94,Block 8 Office 1 of 3 2029|Office
95,Block 23 Low Density Residential 2 of 4 2019|Multifamily (5 or more units)
96,Block 23 Low Density Residential 4 of 4 2019|Multifamily (5 or more units)
97,Block 35 For Sale Residential 1 of 2 2029|Single-Family
98,Block 35 For Sale Residential 2 of 2 2030|Single-Family
99,Block 34 For Sale Residential  2026|Single-Family
100,Block 11 Retail strip mall  2018|Strip shopping mall
101,Block 37 Retail strip mall  2025|Strip shopping mall
102,Block 18 Low Density Residential 1 of 2 2024|Multifamily (5 or more units)
103,Block 14 Retail full restaurant  2017|Food sales
